X_AXIS,Y_AXIS,Z_AXIS
-235.0115586692418,-806.163930497412,114.12075208126632
-155.6117503019157,-1095.1242399774405,-436.0762276503893
-235.99164108502652,-968.2067969299011,-159.10033062445788
-313.7401789900991,-919.8187811286879,-295.5897043173819
-438.93265270540553,-948.1214765694551,-128.29091811931394
-141.33728560084154,-950.7580641730676,-248.65763625050758
-454.70254784478254,-1062.6753859014077,-136.84335262299462
-103.16184982560485,-1039.0309820637888,-394.99596577243494
-876.0600344464374,-1132.175662849489,104.90653192973389
381.8005180429064,-856.3427482153453,-441.5713774957351
92.19329321665876,-330.988820422209,-491.3038579973394
-317.49388456524963,-992.6819602341773,-367.47350336761815
85.47029122613075,-859.946294175415,-498.32596034867555
-254.70705773535678,-639.9895566103708,-515.4220155617683
-272.58466317699214,-693.2309360103606,-401.1122387098481
-597.0805681947537,-642.3369234962024,-302.49373189751446
-579.0836975997395,-810.056516591865,-265.925609645518
-479.2174721163601,-1049.139516615427,-77.11136714868226
-380.8052186361458,-977.9158462433699,-112.39015080135566
-292.8376177560619,-830.0204411520054,-192.48515908881066
-39.085155537975695,-587.6158915497633,-671.4179085816384
-18.81081159543049,-539.0611141260755,-958.4459129983194
30.460320368696586,-451.8521768324751,-852.3492775496046
-95.64090559959529,-237.82390219437406,-1146.4053844155949
78.68906263296482,-674.0250687772526,-1639.67361862824
117.94342544397377,-348.8503037378182,-1295.035949583263
-131.08117403547195,85.09434666019646,-985.540570181307
-142.27304424651777,-207.74918708819118,-987.9197455133101
-149.0911650947069,-355.7396414807271,-905.6649203885216
-118.68213677598273,-317.4940140080696,-953.0374023705521
-92.36238746245527,31.842156810530497,-1201.8601936296195
-135.3066713283003,-331.9603702448153,-1012.8306382766001
-146.68483763666805,-520.8246604670652,-704.6306613732727
-165.86184810488444,-706.1639467579222,-737.3829815809022
-112.142437863072,-810.847274841609,-607.1421540369132
-112.6693820663522,-802.9891041801826,-631.9074586230637
-76.75495529588179,-749.0675394959446,-651.3988256280995
-112.56184379277326,-787.9771627478422,-717.6358072704575
-69.80067774864634,-745.0579944391,-657.942734933949
-112.86350115759198,-751.3651313699621,-689.3116794825515
-74.61780751958705,-692.2307594021611,-718.8950564234688
-104.43559531592612,-670.8724503748041,-753.9287905261143
-104.10093438361768,-731.3482033331474,-704.2629450423609
-96.50560833389369,-766.0504308802344,-681.4221371731401
-99.56672446699909,-717.9501608260703,-706.9473162785496
-91.42534708371355,-745.6411260948958,-708.4235891466122
-78.98292549636423,-726.2599925329072,-679.993350712908
-116.3107360229642,-743.3190870913999,-704.3422869377986
-94.51661301769487,-717.6487355889018,-712.3649822574756
-104.61456622700597,-705.2610302116751,-742.980907086986
-93.25519649203476,-682.3947000314613,-719.7730035109927
-123.74947166140065,-739.6069044670791,-732.013862383663
-108.33639295586389,-679.8418507216996,-725.5346630797419
-106.7909986095689,-670.4195061603994,-744.7767460519838
-94.05447075913165,-718.2678387864727,-718.5506446039825
-110.71375368516,-723.6163436068138,-716.8734318139974
-91.52939266522888,-700.2987796796031,-714.2633894798696
-104.57278549859168,-736.0974255651929,-728.7386303094465
-88.23175268106739,-722.9918573489699,-689.3727938705122
-122.71857307066414,-706.0191380637555,-710.0181206724816
-83.34376350894095,-756.660424876068,-712.9343953464753
-104.05694396786727,-681.5124748271819,-728.4276109150254
-100.62858931719218,-713.413707031198,-717.1459816649328
-102.41050543907133,-732.339117287246,-728.2979180598229
-79.12811354992742,-743.0258291568894,-702.4058950481418
-84.4312001211537,-742.3440446919611,-721.5295005155137
-54.61903968390559,-862.8678116038571,-676.6089568302805
-33.80373703160126,-600.4933980741565,-683.5731069966654
-71.25124755282944,-375.3965707509201,-907.6715815084007
-7.239197738282024,-466.8245733809312,-924.6480053861467
-54.67284481939281,-214.99274147410495,-895.9870840634183
-159.95181474135373,-120.9577911849234,-992.3728847905272
-140.90901140907192,63.494736776413006,-1025.9340113180715
-138.888823353923,95.39958331297181,-973.205294253946
-204.75647476389733,39.35006686609559,-866.3138139490159
-381.98570466796946,55.24564295464554,-907.0122921105227
-267.2677870410469,115.47026884223125,-1040.4630339897194
-236.6767062582302,58.3829672844884,-995.8751061093305
-259.3020382543949,72.41380027472067,-939.2022362755434
-214.92472349215677,96.15967227785023,-988.0181797348255
-159.58666081404905,103.42439515195754,-1005.6640706504368
-181.08066258490416,91.78987057505365,-970.7336299186954
-180.73858773298574,132.30744088442324,-949.5016087196362
-179.0610535812287,102.10682136088403,-932.2821059430785
-219.15562621301683,134.51569356187503,-929.1323303791387
-212.20783637880064,134.3806388030971,-950.5191919868574
-199.53016953683425,144.46644967587878,-965.909469056804
-213.7006649725733,123.12861071769508,-935.0609589289193
-213.62419034616775,144.57111593655674,-946.5110159725476
-194.94431326699862,126.23295211069612,-983.0877311486998
-182.37481477867806,103.97430044453858,-942.2529558796218
-190.23007338350365,108.84071360646246,-963.7403169591634
-196.22559104461948,225.673876529074,-944.1744035590203
-182.032873366857,253.37968113680918,-956.6525752128231
-191.40029154038245,192.80258438928084,-948.2824445681509
-203.41273790288304,188.17707145173074,-941.4945389431732
-181.58918465295,146.56785867434644,-973.6096182788592
-205.99767123893974,106.09187109940252,-923.2320843068745
-191.93639189883473,142.23170107626004,-945.5489382286148
-153.55704848526105,198.9015303855199,-955.8224327851125
-157.386540329545,167.17126217923786,-944.1319724024092
-168.4898751871019,200.30894658895508,-917.0745908369963
-165.95018688327744,335.97487987191516,-945.6648326487345
-154.31948269124857,48.36996865902642,-993.7215500924483
-158.84814517817574,73.70492966478382,-943.1527906371412
-179.40232680423776,105.30887930762056,-979.7887696805585
-129.18592433617218,-110.0693405977307,-973.7651263452836
-213.0555268867679,-130.28512091994213,-968.5081134145146
-248.90527212899693,60.42127183384214,-961.8802851479685
-260.25082513000893,124.81875598052416,-978.045339100871
-196.7286148871197,31.3839207784001,-977.5379418145966
-194.06395833503282,66.83150925416722,-974.3258908639788
-181.28411098685464,107.28129383067616,-966.7777637347248
-177.2128355597942,89.63730247594285,-985.6032933969045
-177.21646293629368,106.17350485873398,-978.2684107596862
-193.11062833550642,96.96952113840365,-962.4652725709234
-171.29508544545376,33.530102816257006,-965.7776842227943
-174.16851620526862,49.033611965082926,-981.3078052105733
-162.73244359075514,101.85247611284196,-954.0092195737351
-150.6208425045247,31.40913985330454,-1000.421126159483
-143.12372883135663,19.943649193993366,-966.6970528254326
-155.54964004178336,67.30504199503382,-963.0241039439933
-148.7036626565544,20.96858619247027,-972.5907038140159
-172.42958649717752,19.94875091598175,-984.6738364432633
-204.6066871149692,91.05733771854376,-937.4167996983668
-192.82155369524577,52.353701273041,-980.2117394648845
-189.7393249328269,37.893884927272545,-983.4801726203805
-189.93317845238673,71.84568260763534,-952.3005944805855
-155.30700984324477,62.103915333610765,-984.1234570423907
-152.36268933094857,79.16130447601132,-989.6412312314767
-149.95893203953642,101.35757795174541,-952.7077064072761
-154.44011616132875,54.56462063015351,-972.1299119547729
-149.34261600044215,51.586343111783656,-977.918389651436
-166.81376498357227,88.05912610439769,-963.9548522498394
-166.963755369269,74.19192323226763,-973.8600421886566
-178.85319965254226,58.403306776446186,-983.0841639088923
-174.54832350109206,68.95817660290548,-938.3802064719013
-153.84781111713818,41.584892129813944,-983.7748314435883
-169.319684850561,75.41395714972491,-951.2396189608565
-192.1060180963709,72.84687909730344,-964.5623567386431
-167.21321978150021,75.10381064203911,-971.0816150926635
-185.85086207268492,77.62464294659033,-959.811065739891
-194.35998720394167,73.08329013930174,-942.1935840091543
-169.6105494180327,59.35504783498197,-989.6034329493544
-171.76094529779508,147.00396620579022,-970.4208163391946
-163.98174482821167,132.87148287144478,-953.2277916240146
-142.61907147636873,-1.302861639578991,-988.6037051191574
-160.99807963283476,-12.963328636443181,-955.4419632790608
-189.02920640655154,139.04872354628034,-962.0735623588688
-187.8113837806022,92.29026507702926,-1004.721164116146
-174.16395729024546,-20.632176176668303,-956.9510850874417
-169.05490636882348,15.740966282811712,-974.1538716854266
-173.94294850928853,40.484511246299334,-977.6702897027919
-159.80031332990427,2.761109243807164,-950.6728237851734
-154.94001959149867,-3.1824144005880175,-987.0893325190773
-164.3133101431655,-0.10948241575593028,-1014.0977731527722
-177.9214321113571,-27.700540757590264,-990.4251593701821
-207.3444448901812,-46.952332212403796,-975.3491247088264
