X_AXIS,Y_AXIS,Z_AXIS
171.62976209914447,-296.2770590963298,-934.8469190808506
130.03673401423873,-330.93562562557116,-964.6980777575071
157.50031969489766,-325.1281558112167,-971.9008259129452
248.6156590227517,-286.39033404527197,-978.131261692365
169.9823744825651,-378.8790203678355,-919.437988570719
167.19499840827493,-329.16758365920094,-1009.6698306353094
33.28912261577271,-361.7991774979867,-972.8828440615497
12.872123816990783,-406.3413013114745,-1079.1592956138206
313.6933014934364,-531.6645713416226,-957.9834840321321
366.2408671730293,-380.1002742811275,-933.8182510426607
46.68701449196401,-250.39206222127302,-922.6476752722751
128.07884931152083,-370.3734353142289,-865.9179778037205
155.95728877744034,-315.61098246121117,-925.5240298271023
127.88130840616185,-252.1665671720719,-947.4431153353873
102.59664652481754,-310.03497835009733,-948.3016564573641
156.8289965185602,-311.5445091866589,-925.2405859579558
173.31460137699045,-318.84935978745847,-947.5011175250121
158.75321411933902,-308.8578653033171,-976.1312288770837
141.49501396677303,-257.6696732577541,-972.1187858555152
144.39196661849925,-264.04542037097923,-982.5324612571391
162.78071917973097,-268.2607782610691,-1015.2183755664797
146.0467898906983,-280.0971502463357,-993.5582539040868
139.31690131154917,-290.86589239574533,-965.2214086877433
124.0730476911144,-248.99039359749113,-947.735385061446
119.07424198245067,-248.82140620987732,-952.9805031040092
121.27386714137458,-312.0030565849724,-910.3293768741933
147.79324158013887,-219.14025046006287,-968.7008489233672
163.0029071189574,-203.86412268955183,-1015.9532037670964
182.36279953381154,-159.4097747152075,-1046.3010353845996
130.90615787683726,-152.97373927800652,-1027.2510154126433
73.5032019861459,-203.67325428188272,-993.6403528219687
72.69557138497184,-210.07139997423067,-954.8702731968432
61.00422864266372,-266.3007871485967,-893.266814644867
38.12388736306484,-345.88862228352474,-877.0287247206785
32.793241052049446,-337.3935598933074,-905.8929433043792
46.2023165685308,-309.6347074695935,-933.460313785104
106.73682968669164,-273.66640494842335,-932.1377426795293
151.44072976424988,-243.8555851089419,-962.044982871772
165.81873708161464,-198.6847519990202,-1026.2225124137483
208.4074421648859,-108.99270507305495,-994.4842339405294
173.62024462149623,-108.42510355756743,-978.130472718788
121.52724867365977,-70.21237330157696,-891.1384362706872
55.51839426417891,-47.52356104005559,-937.5619475988275
11.491638549047005,-125.33247605933902,-1001.9520269312735
0.49357857065077176,-125.7652121831733,-1001.16858485568
0.5434660460611829,-174.2777488519863,-1025.7220831343034
24.490798869639868,-227.9993789331219,-1010.1217164988775
38.91948151911829,-188.90598779594006,-1011.3390009617253
84.42903143984628,-199.50216894514134,-1020.6373277990579
91.55993115564141,-158.29402824749775,-1028.187687393371
146.76854267511837,-134.10208324676708,-1026.1514576653572
116.80081042370567,-104.60594352060211,-1006.9408004940958
137.1003231620803,-101.51812698889037,-983.9797232235676
147.90512532726774,-86.85392163239916,-965.8202535121379
77.92241009964985,-73.07764284895774,-1021.0205726477404
112.42179742292072,-69.83688094631296,-980.4326956019014
84.67324883915659,-114.75483060641058,-971.3119316918401
85.78400508022236,-101.96762692796189,-1017.4267107270541
103.89562660998021,-98.85367230473535,-1037.430998612613
83.35826884706731,-90.48933011822417,-1022.4125101313166
112.41316388228765,-107.82035835634956,-1036.0883672013192
135.46139858428546,-95.5855426866665,-1016.6690383363369
106.87471718220719,-114.42481629900884,-991.0083746734456
102.44256024281425,-108.60254232131153,-974.8951807518199
131.83467820088146,-126.30503099380479,-971.4753002289592
113.81182148353888,-137.8051347376848,-966.2951318862723
154.78711727503364,-107.84283773296076,-966.2207734480054
105.983358718817,-151.88733434119396,-936.3035207097303
200.0806760868887,-122.80685226806996,-1052.0283695214127
115.69762991917106,-104.47249926702152,-958.4202772502648
58.12263540874633,-209.44753212083674,-873.515058942215
193.68671473674377,-212.55359417405595,-993.1910912143982
187.84589302842843,-172.65937649600275,-973.1103130314266
113.1490876308591,-86.87848868661833,-958.7084150641255
155.9481799366972,-91.6731051494461,-1015.3581295210611
79.50677633850758,4.862957580745159,-1029.5978444475422
90.39188179658902,-81.45952150855491,-931.8211619306678
273.32486128093984,-154.06243484124528,-1015.1640627582411
66.59111092591905,-111.2264613768084,-995.0833462728615
144.25436933329547,-44.05064999190538,-1036.854797577435
145.76753388979975,-103.35622569777611,-1033.754785100614
150.82941030036065,-106.18264977220176,-1011.7838553079678
172.72575619561115,-60.84037745242122,-1017.6729528123805
166.94974818181421,-103.76855040106624,-1007.3784791483982
150.93269710882262,-66.67990540058139,-991.7204788270436
168.25519389669623,-92.64942736791738,-963.1778736967711
166.66000038336642,-82.30605078950471,-972.2960332670318
165.1032925688626,-89.02333046572002,-987.0795333850994
156.05176160393808,-66.30637004050462,-982.8901970567163
160.36223764101948,-90.60952525964456,-977.9508288831975
172.9727514661174,-87.69273788656515,-989.2928969355962
170.47041266596344,-66.9105525139765,-1006.6247939454639
176.65045316540338,-99.7741922050192,-985.114050095172
176.01229312517256,-79.04683945312877,-971.9920335298682
186.66681379344348,-65.88224657527253,-985.7931730367052
173.19928373498755,-109.69922600296356,-984.7072507107918
183.90160870160082,-111.10411135611243,-972.5869535588731
212.18169728418326,-106.09821576382336,-975.3642977207674
203.9870385202592,-115.3068943748825,-971.496100423202
