ID,RECEIVED_TIMESTAMP,ACTIVITY,CLIENT_BATCH_ID,BATTERY_LEVEL,SESSION_ID,DATA_TAG,EPOCH_TIME
1,806695793,3,252211,90,1770333222,0,1770333222
2,806696642,3,252212,90,1770333222,0,1770333222
3,806697044,3,252213,90,1770333222,0,1770333223
4,806697841,3,252214,90,1770333222,0,1770333224
5,806698438,3,252215,90,1770333222,1770333224,1770333224
6,806698837,3,252216,90,1770333222,0,1770333225
7,806699235,3,252217,90,1770333222,0,1770333225
8,806699634,3,252218,90,1770333222,0,1770333225
9,806700032,3,252219,90,1770333222,0,1770333226
10,806700431,3,252220,90,1770333222,0,1770333226
11,806700630,3,252221,90,1770333222,0,1770333226
12,806701028,3,252222,90,1770333222,0,1770333227
13,806701427,3,252223,90,1770333222,0,1770333227
14,806701825,3,252224,90,1770333222,0,1770333228
15,806702227,3,252225,90,1770333222,0,1770333228
16,806702423,3,252226,90,1770333222,0,1770333228
17,806702622,3,252227,90,1770333222,0,1770333228
18,806702622,3,252228,90,1770333222,0,1770333228
19,806702622,3,252229,90,1770333222,0,1770333228
20,806702821,3,252230,90,1770333222,0,1770333229
21,806702821,3,252231,90,1770333222,0,1770333229
22,806702821,3,252232,90,1770333222,0,1770333229
23,806703024,3,252233,90,1770333222,0,1770333229
24,806703024,3,252234,90,1770333222,0,1770333229
25,806703024,3,252235,90,1770333222,0,1770333229
26,806703223,3,252236,90,1770333222,0,1770333229
27,806703223,3,252237,90,1770333222,0,1770333229
28,806703423,3,252238,90,1770333222,0,1770333229
29,806703423,3,252239,90,1770333222,0,1770333229
30,806703423,3,252240,90,1770333222,0,1770333229
31,806703622,3,252241,90,1770333222,0,1770333229
32,806703622,3,252242,90,1770333222,0,1770333229
33,806703821,3,252243,90,1770333222,0,1770333230
34,806703821,3,252244,90,1770333222,0,1770333230
35,806703821,3,252245,90,1770333222,0,1770333230
36,806703821,3,252246,90,1770333222,0,1770333230
37,806704021,3,252247,90,1770333222,0,1770333230
38,806704021,3,252248,90,1770333222,0,1770333230
39,806704021,3,252249,90,1770333222,0,1770333230
40,806704220,3,252250,90,1770333222,0,1770333230
41,806704220,3,252251,90,1770333222,0,1770333230
42,806704419,3,252252,90,1770333222,0,1770333230
43,806704618,3,252253,90,1770333222,0,1770333230
44,806704817,3,252254,90,1770333222,0,1770333231
45,806705017,3,252255,90,1770333222,0,1770333231
46,806705216,3,252256,90,1770333222,0,1770333231
47,806705415,3,252257,90,1770333222,0,1770333231
48,806705614,3,252258,90,1770333222,0,1770333231
49,806705812,3,252259,90,1770333222,0,1770333232
50,806706013,3,252260,90,1770333222,0,1770333232
51,806706212,3,252261,90,1770333222,0,1770333232
52,806706411,3,252262,90,1770333222,0,1770333232
53,806706610,3,252263,90,1770333222,0,1770333232
54,806706810,3,252264,90,1770333222,0,1770333233
55,806707009,3,252265,90,1770333222,0,1770333233
56,806707208,3,252266,90,1770333222,0,1770333233
57,806707407,3,252267,90,1770333222,0,1770333233
58,806707606,3,252268,90,1770333222,0,1770333233
59,806707806,3,252269,90,1770333222,0,1770333234
60,806708008,3,252270,90,1770333222,0,1770333234
61,806708204,3,252271,90,1770333222,0,1770333234
62,806708406,3,252272,90,1770333222,0,1770333234
63,806708603,3,252273,90,1770333222,0,1770333234
64,806708806,3,252274,90,1770333222,0,1770333235
65,806709001,3,252275,90,1770333222,0,1770333235
66,806709200,3,252276,90,1770333222,0,1770333235
67,806709403,3,252277,90,1770333222,0,1770333235
68,806709599,3,252278,90,1770333222,0,1770333235
69,806709802,3,252279,90,1770333222,0,1770333236
70,806710001,3,252280,90,1770333222,0,1770333236
71,806710200,3,252281,90,1770333222,0,1770333236
72,806710398,3,252282,90,1770333222,0,1770333236
73,806710599,3,252283,90,1770333222,0,1770333236
74,806710798,3,252284,90,1770333222,0,1770333237
75,806710997,3,252285,90,1770333222,0,1770333237
76,806711196,3,252286,90,1770333222,0,1770333237
77,806711396,3,252287,90,1770333222,0,1770333237
78,806711594,3,252288,90,1770333222,0,1770333237
79,806711794,3,252289,90,1770333222,0,1770333238
80,806711993,3,252290,90,1770333222,0,1770333238
81,806712192,3,252291,90,1770333222,0,1770333238
82,806712392,3,252292,90,1770333222,0,1770333238
83,806712591,3,252293,90,1770333222,0,1770333238
84,806712790,3,252294,90,1770333222,0,1770333239
85,806712988,3,252295,90,1770333222,0,1770333239
86,806713188,3,252296,90,1770333222,0,1770333239
87,806713387,3,252297,90,1770333222,0,1770333239
88,806713587,3,252298,90,1770333222,0,1770333239
89,806713786,3,252299,90,1770333222,0,1770333240
90,806713985,3,252300,90,1770333222,0,1770333240
91,806714185,3,252301,90,1770333222,0,1770333240
92,806714384,3,252302,90,1770333222,0,1770333240
93,806714583,3,252303,90,1770333222,0,1770333240
94,806714782,3,252304,90,1770333222,0,1770333241
95,806714981,3,252305,90,1770333222,0,1770333241
96,806715181,3,252306,90,1770333222,0,1770333241
97,806715380,3,252307,90,1770333222,0,1770333241
98,806715579,3,252308,90,1770333222,0,1770333241
99,806715778,3,252309,90,1770333222,0,1770333242
100,806715978,3,252310,90,1770333222,0,1770333242
101,806716177,3,252311,90,1770333222,0,1770333242
102,806716376,3,252312,90,1770333222,0,1770333242
103,806716575,3,252313,90,1770333222,0,1770333242
104,806716774,3,252314,90,1770333222,0,1770333243
105,806716974,3,252315,90,1770333222,0,1770333243
106,806717173,3,252316,90,1770333222,0,1770333243
107,806717372,3,252317,90,1770333222,0,1770333243
108,806717571,3,252318,90,1770333222,0,1770333243
109,806717771,3,252319,90,1770333222,0,1770333244
110,806717970,3,252320,90,1770333222,0,1770333244
111,806718169,3,252321,90,1770333222,0,1770333244
112,806718368,3,252322,90,1770333222,0,1770333244
113,806718571,3,252323,90,1770333222,0,1770333244
114,806718771,3,252324,90,1770333222,0,1770333245
115,806718966,3,252325,90,1770333222,0,1770333245
116,806719169,3,252326,90,1770333222,0,1770333245
117,806719368,3,252327,90,1770333222,0,1770333245
118,806719563,3,252328,90,1770333222,0,1770333245
119,806719767,3,252329,90,1770333222,0,1770333246
120,806719962,3,252330,90,1770333222,0,1770333246
121,806720165,3,252331,90,1770333222,0,1770333246
122,806720363,3,252332,90,1770333222,0,1770333246
123,806720563,3,252333,90,1770333222,0,1770333246
124,806720763,3,252334,90,1770333222,0,1770333247
125,806720961,3,252335,90,1770333222,0,1770333247
126,806721161,3,252336,90,1770333222,0,1770333247
127,806721359,3,252337,90,1770333222,0,1770333247
128,806721560,3,252338,90,1770333222,0,1770333247
129,806721759,3,252339,90,1770333222,0,1770333248
130,806721958,3,252340,90,1770333222,0,1770333248
131,806722157,3,252341,90,1770333222,0,1770333248
132,806722356,3,252342,90,1770333222,0,1770333248
133,806722556,3,252343,90,1770333222,0,1770333248
134,806722755,3,252344,90,1770333222,0,1770333249
135,806722954,3,252345,90,1770333222,0,1770333249
136,806723153,3,252346,90,1770333222,0,1770333249
137,806723352,3,252347,90,1770333222,0,1770333249
138,806723552,3,252348,90,1770333222,0,1770333249
139,806723751,3,252349,90,1770333222,0,1770333250
140,806723950,3,252350,90,1770333222,0,1770333250
141,806724149,3,252351,90,1770333222,0,1770333250
142,806724349,3,252352,90,1770333222,0,1770333250
143,806724548,3,252353,90,1770333222,0,1770333250
144,806724747,3,252354,90,1770333222,0,1770333251
145,806724946,3,252355,90,1770333222,0,1770333251
146,806725146,3,252356,90,1770333222,0,1770333251
147,806725345,3,252357,90,1770333222,0,1770333251
148,806725544,3,252358,90,1770333222,0,1770333251
149,806725743,3,252359,90,1770333222,0,1770333252
150,806725942,3,252360,90,1770333222,0,1770333252
151,806726142,3,252361,90,1770333222,0,1770333252
152,806726340,3,252362,90,1770333222,0,1770333252
153,806726539,3,252363,90,1770333222,0,1770333252
154,806726739,3,252364,90,1770333222,0,1770333253
155,806726938,3,252365,90,1770333222,0,1770333253
156,806727138,3,252366,90,1770333222,0,1770333253
157,806727337,3,252367,90,1770333222,0,1770333253
158,806727536,3,252368,90,1770333222,0,1770333253
159,806727735,3,252369,90,1770333222,0,1770333254
160,806727935,3,252370,90,1770333222,0,1770333254
161,806728134,3,252371,90,1770333222,0,1770333254
162,806728333,3,252372,90,1770333222,0,1770333254
163,806728532,3,252373,90,1770333222,0,1770333254
164,806728731,3,252374,90,1770333222,0,1770333255
165,806728931,3,252375,90,1770333222,0,1770333255
166,806729130,3,252376,90,1770333222,0,1770333255
167,806729329,3,252377,90,1770333222,0,1770333255
168,806729528,3,252378,90,1770333222,0,1770333255
169,806729728,3,252379,90,1770333222,0,1770333256
170,806729927,3,252380,90,1770333222,0,1770333256
171,806730126,3,252381,90,1770333222,0,1770333256
172,806730325,3,252382,90,1770333222,0,1770333256
173,806730524,3,252383,90,1770333222,0,1770333256
174,806730724,3,252384,90,1770333222,0,1770333257
175,806730922,3,252385,90,1770333222,0,1770333257
176,806731122,3,252386,90,1770333222,0,1770333257
177,806731321,3,252387,90,1770333222,0,1770333257
178,806731520,3,252388,90,1770333222,0,1770333257
179,806731720,3,252389,90,1770333222,0,1770333258
180,806731919,3,252390,90,1770333222,0,1770333258
181,806732118,3,252391,90,1770333222,0,1770333258
182,806732317,3,252392,90,1770333222,0,1770333258
183,806732517,3,252393,90,1770333222,0,1770333258
184,806732716,3,252394,90,1770333222,0,1770333259
185,806732915,3,252395,90,1770333222,0,1770333259
186,806733114,3,252396,90,1770333222,0,1770333259
187,806733313,3,252397,90,1770333222,0,1770333259
188,806733512,3,252398,90,1770333222,0,1770333259
189,806733712,3,252399,90,1770333222,0,1770333260
190,806733911,3,252400,90,1770333222,0,1770333260
191,806734110,3,252401,90,1770333222,0,1770333260
192,806734309,3,252402,90,1770333222,0,1770333260
193,806734509,3,252403,90,1770333222,0,1770333260
194,806734708,3,252404,90,1770333222,0,1770333261
195,806734906,3,252405,90,1770333222,0,1770333261
196,806735106,3,252406,90,1770333222,0,1770333261
197,806735306,3,252407,90,1770333222,0,1770333261
198,806735505,3,252408,90,1770333222,0,1770333261
199,806735704,3,252409,90,1770333222,0,1770333262
200,806735903,3,252410,90,1770333222,0,1770333262
201,806736103,3,252411,90,1770333222,0,1770333262
202,806736302,3,252412,90,1770333222,0,1770333262
203,806736501,3,252413,90,1770333222,0,1770333262
