ID,RECEIVED_TIMESTAMP,ACTIVITY,CLIENT_BATCH_ID,BATTERY_LEVEL,SESSION_ID,DATA_TAG,EPOCH_TIME
1,720033020,1,249091,100,1770246559,0,1770246559
2,720033286,1,249092,100,1770246559,0,1770246559
3,720033684,1,249093,100,1770246559,0,1770246559
4,720034078,1,249094,100,1770246559,0,1770246560
5,720034875,1,249095,100,1770246559,0,1770246561
6,720035270,1,249096,100,1770246559,0,1770246561
7,720035469,1,249097,100,1770246559,0,1770246561
8,720035868,1,249098,100,1770246559,0,1770246562
9,720036262,1,249099,100,1770246559,0,1770246562
10,720036661,1,249100,100,1770246559,0,1770246562
11,720037058,1,249101,100,1770246559,0,1770246563
12,720037254,1,249102,100,1770246559,0,1770246563
13,720037653,1,249103,100,1770246559,0,1770246563
14,720038047,1,249104,100,1770246559,0,1770246564
15,720038645,1,249105,100,1770246559,0,1770246564
16,720039039,1,249106,100,1770246559,0,1770246565
17,720039239,1,249107,100,1770246559,0,1770246565
18,720039438,1,249108,100,1770246559,0,1770246565
19,720039637,1,249109,100,1770246559,0,1770246565
20,720039637,1,249110,100,1770246559,0,1770246565
21,720039836,1,249111,100,1770246559,0,1770246566
22,720039836,1,249112,100,1770246559,0,1770246566
23,720039836,1,249113,100,1770246559,0,1770246566
24,720040036,1,249114,100,1770246559,0,1770246566
25,720040036,1,249115,100,1770246559,0,1770246566
26,720040036,1,249116,100,1770246559,0,1770246566
27,720040231,1,249117,100,1770246559,0,1770246566
28,720040231,1,249118,100,1770246559,0,1770246566
29,720040231,1,249119,100,1770246559,0,1770246566
30,720040231,1,249120,100,1770246559,0,1770246566
31,720040430,1,249121,100,1770246559,0,1770246566
32,720040430,1,249122,100,1770246559,0,1770246566
33,720040430,1,249123,100,1770246559,0,1770246566
34,720040629,1,249124,100,1770246559,0,1770246566
35,720040629,1,249125,100,1770246559,0,1770246566
36,720040629,1,249126,100,1770246559,0,1770246566
37,720040828,1,249127,100,1770246559,0,1770246566
38,720040828,1,249128,100,1770246559,0,1770246566
39,720040828,1,249129,100,1770246559,0,1770246566
40,720040828,1,249130,100,1770246559,0,1770246566
41,720041028,1,249131,100,1770246559,0,1770246567
42,720041222,1,249132,100,1770246559,0,1770246567
43,720041422,1,249133,100,1770246559,0,1770246567
44,720041621,1,249134,100,1770246559,0,1770246567
45,720041821,1,249135,100,1770246559,0,1770246567
46,720042019,1,249136,100,1770246559,0,1770246568
47,720042214,1,249137,100,1770246559,0,1770246568
48,720042414,1,249138,100,1770246559,0,1770246568
49,720042614,1,249139,100,1770246559,0,1770246568
50,720042812,1,249140,100,1770246559,0,1770246568
51,720043008,1,249141,100,1770246559,0,1770246569
52,720043207,1,249142,100,1770246559,0,1770246569
53,720043407,1,249143,100,1770246559,0,1770246569
54,720043606,1,249144,100,1770246559,0,1770246569
55,720043805,1,249145,100,1770246559,0,1770246569
56,720044004,1,249146,100,1770246559,0,1770246570
57,720044200,1,249147,100,1770246559,0,1770246570
58,720044399,1,249148,100,1770246559,0,1770246570
59,720044598,1,249149,100,1770246559,0,1770246570
60,720044797,1,249150,100,1770246559,0,1770246570
61,720044996,1,249151,100,1770246559,0,1770246571
62,720045192,1,249152,100,1770246559,0,1770246571
63,720045391,1,249153,100,1770246559,0,1770246571
64,720045590,1,249154,100,1770246559,0,1770246571
65,720045789,1,249155,100,1770246559,0,1770246571
66,720045989,1,249156,100,1770246559,0,1770246572
67,720046184,1,249157,100,1770246559,0,1770246572
68,720046382,1,249158,100,1770246559,0,1770246572
69,720046582,1,249159,100,1770246559,0,1770246572
70,720046782,1,249160,100,1770246559,0,1770246572
71,720046981,1,249161,100,1770246559,0,1770246573
72,720047176,1,249162,100,1770246559,0,1770246573
73,720047375,1,249163,100,1770246559,0,1770246573
74,720047575,1,249164,100,1770246559,0,1770246573
75,720047773,1,249165,100,1770246559,0,1770246573
76,720047969,1,249166,100,1770246559,0,1770246574
77,720048168,1,249167,100,1770246559,0,1770246574
78,720048368,1,249168,100,1770246559,0,1770246574
79,720048567,1,249169,100,1770246559,0,1770246574
80,720048766,1,249170,100,1770246559,0,1770246574
81,720048961,1,249171,100,1770246559,0,1770246575
82,720049161,1,249172,100,1770246559,0,1770246575
83,720049360,1,249173,100,1770246559,0,1770246575
84,720049559,1,249174,100,1770246559,0,1770246575
85,720049758,1,249175,100,1770246559,0,1770246575
86,720049957,1,249176,100,1770246559,0,1770246576
